edge_id,source_id,target_id,edge_type,source_path,attributes_json
edge:c220b2c40fb9208d,file:4f7c289bfa5e3248,policy_indicator:13.3.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c226d68cf7a26130,file:4f7c289bfa5e3248,policy_indicator:1.2.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c22b903a74ee7788,asdi:ASDI.10,dataset_type:weather,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c242f5b235b2591f,sdg_target:8.6,sdg:8,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:c277309220f03f95,file:790921ce62f6e811,asdi:ASDI.136,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c28aaee5cc31c96d,file:4f7c289bfa5e3248,policy_indicator:5.6.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c29e86a8836522e6,file:4f7c289bfa5e3248,policy_indicator:12.7.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c2d08f36499a2605,file:4f7c289bfa5e3248,policy_indicator:8.8.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c2f31e3af1374e05,file:790921ce62f6e811,asdi:ASDI.87,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c3494d56b37c394c,asdi:ASDI.79,dataset_type:satellite imagery,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c3603f63f8e2bae4,sdg_target:8.7,sdg:8,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:c3dc71ce6c44d087,sdg_target:9.5,sdg:9,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:c3ded25bc0533357,track:part-i,file:6c24e34113a2ee3e,CONTAINS_FILE,Public Policies Tables/02 Tabla B2.xlsx,"{""role"":""public_policy_input""}"
edge:c424b09799d373bc,track:part-i,file:7fa984e1094f10ba,CONTAINS_FILE,Google Colab Notebooks/DS_Neo4j_ExpertIA_Sustainable_Public_Policies_MX.ipynb,"{""role"":""exploratory_notebook""}"
edge:c46125acedb91c7d,file:790921ce62f6e811,asdi:ASDI.134,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c4e230d2a7e48b1a,file:4f7c289bfa5e3248,policy_indicator:10.6.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c4fa2365f8cc0460,policy_indicator:17.2.1,sdg_target:17.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c508aa32df75364c,policy_indicator:4.3.1,sdg_target:4.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c52ec2a290eefe1f,policy_indicator:14.a.1,sdg_target:14.a,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c53ed1a30e077cdf,file:4f7c289bfa5e3248,policy_indicator:3.9.3,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c55973232f6a6e2d,file:790921ce62f6e811,asdi:ASDI.114,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c56cb8f7a70e1c8a,policy_indicator:17.18.2,sdg_target:17.18,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c612bde8c15273e2,asdi:ASDI.95,sdg:11,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG11""}"
edge:c63c5143f1c44768,file:4f7c289bfa5e3248,policy_indicator:16.3.3,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c69c435417ce27dd,policy_indicator:12.1.1,sdg_target:12.1,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c6fb4ffb36a08495,policy_indicator:16.5.2,sdg_target:16.5,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c6fe247472fe769d,sdg_target:3.3,sdg:3,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:c73c5620655f4ec2,asdi:ASDI.27,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:c74c7573981bf5f9,policy_indicator:12.2.1,sdg_target:12.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:c81a9c9eadccfa83,asdi:ASDI.135,sdg:15,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG15""}"
edge:c88f4cc05aeec5e4,sdg_target:10.3,sdg:10,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:c917c88f4fae984d,asdi:ASDI.102,dataset_type:energy,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:c9748972e418bb8e,file:4f7c289bfa5e3248,policy_indicator:6.1.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c9a6832c2b688a64,file:4f7c289bfa5e3248,policy_indicator:16.1.3,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:c9fb4f7b6312de44,asdi:ASDI.39,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:ca28c32f046dee49,file:4f7c289bfa5e3248,policy_indicator:17.1.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:ca42eff8efec1cc4,policy_indicator:3.8.1,sdg_target:3.8,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:ca8219db664e9083,policy_indicator:15.1.2,sdg_target:15.1,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:ca82bccb39d78e52,policy_indicator:8.3.1,sdg_target:8.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:caa0e557672bf07f,file:4f7c289bfa5e3248,policy_indicator:3.5.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:cacd90c9b20270f1,policy_indicator:11.3.2,sdg_target:11.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:cb2973ec3e83f0b8,policy_indicator:3.7.2,sdg_target:3.7,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:cb2b0fce747b0b52,asdi:ASDI.90,sdg:15,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG15""}"
edge:cb3659442ff78d29,asdi:ASDI.127,dataset_type:oceans,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:cb4357c8df508f6f,file:4f7c289bfa5e3248,policy_indicator:9.b.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:cb52d533a4c02d9c,asdi:ASDI.124,sdg:14,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG14""}"
edge:cb65aa8f4a5cab18,asdi:ASDI.93,sdg:15,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG15""}"
edge:cbd7a7e4ccc9c980,file:790921ce62f6e811,asdi:ASDI.6,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:cbdd8c6178ddc068,file:4f7c289bfa5e3248,policy_indicator:5.5.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:cbedc36b1fa9bcfe,policy_indicator:3.3.2,sdg_target:3.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
